apprendimento policy e Q
----------------------------------
griglia (30x15):
..............................
###...........................
..#.####...............##.....
..#.#..#.............##.###...
.##.#..#.............#....#...
.#S.#..#....#........#....#...
.####..#....#........#G...#...
.......###.#######...##..#....
.......#....#.........#..#....
.......#....#.........#..#....
.......#....#......####..#....
............######......##....
..............................
..............................
..............................

X,Y,Azione Ottimale,Valore Q Ottimale,Q_Su,Q_Giu,Q_Sinistra,Q_Destra
13,3,Destra,2.38145,2.12659,2.35413,2.10814,2.38145
14,3,Giu,2.51066,2.26787,2.51066,2.24172,2.39562
15,3,Giu,2.64556,2.45149,2.64556,2.33258,2.52476
16,3,Destra,2.49052,2.1215,2.36218,2.24995,2.49052
17,3,Giu,2.92742,2.60039,2.92742,2.58748,2.80256
18,3,Giu,2.17051,1.89645,2.17051,1.98632,2.08975
19,3,Giu,2.45461,2.203,2.45461,2.13826,2.3253
20,3,Giu,1.90443,1.47043,1.90443,1.56918,0.804658
23,3,Destra,1.27031,0.985355,0.994022,0.633864,1.27031
27,3,Giu,2.13799,1.6725,2.13799,1.28534,1.94498
28,3,Giu,2.4117,2.29706,2.4117,2.28135,2.23994
29,3,Giu,2.16984,1.80031,2.16984,1.90848,1.28856
0,4,Giu,2.3644,2.15955,2.3644,1.36511,1.22034
3,4,Su,0.981689,0.981689,0.903317,-0.00137444,-0.0429453
5,4,Destra,3.05851,2.45509,3.00036,2.38887,3.05851
6,4,Sinistra,2.70192,2.61889,2.56606,2.70192,1.99863
8,4,Destra,1.74267,1.49443,1.37283,0.751175,1.74267
9,4,Destra,2.01097,1.69455,1.82432,1.72704,2.01097
10,4,Destra,2.13142,1.69644,1.97693,2.00697,2.13142
11,4,Destra,2.25343,1.93773,1.88031,1.92366,2.25343
12,4,Destra,2.37682,1.98702,1.32564,2.07868,2.37682
13,4,Destra,2.51607,2.16703,2.40279,2.29153,2.51607
14,4,Destra,2.65757,2.37767,2.59909,2.38806,2.65757
15,4,Destra,2.79835,2.40909,2.78427,2.55069,2.79835
16,4,Giu,2.94744,2.36742,2.94744,2.69774,2.87254
17,4,Giu,3.15812,2.90279,3.15812,2.68233,3.04174
18,4,Giu,3.26941,2.84202,3.26941,2.80928,3.0354
19,4,Giu,3.38333,2.65541,3.38333,3.00263,2.99845
20,4,Giu,1.99346,1.56427,1.99346,1.81556,1.00593
22,4,Destra,4.38971,3.44028,3.73278,3.47113,4.38971
23,4,Giu,7.78831,5.94986,7.78831,5.78377,5.82962
24,4,Sinistra,3.77295,2.8961,3.46428,3.77295,3.17407
25,4,Giu,1.90842,1.64602,1.90842,1.54169,1.8856
27,4,Destra,2.50284,2.17617,2.31573,1.77106,2.50284
28,4,Giu,2.29136,1.8438,2.29136,2.045,2.19024
29,4,Giu,2.461,1.9997,2.461,2.28088,1.39616
0,5,Su,2.45133,2.45133,2.44346,1.66822,1.59558
2,5,Destra,0.87688,-0.186242,-0.168084,-0.174245,0.87688
3,5,Su,0.915399,0.915399,-0.0960415,0.789088,-0.113012
5,5,Destra,2.38251,2.08546,2.23354,1.58845,2.38251
6,5,Sinistra,2.58724,2.44326,2.54066,2.58724,2.02698
8,5,Destra,1.8095,1.61092,1.61689,1.14861,1.8095
9,5,Destra,1.82293,1.62876,1.80225,1.49405,1.82293
10,5,Giu,1.98103,1.97629,1.98103,1.77402,1.90673
11,5,Sinistra,1.87196,1.6842,1.80533,1.87196,1.10185
13,5,Destra,2.65604,2.18942,2.33904,1.49948,2.65604
14,5,Giu,2.79878,2.20305,2.79878,2.58762,2.53547
15,5,Giu,2.93762,2.59731,2.93762,2.66077,2.90939
16,5,Giu,3.11253,2.71421,3.11253,2.73876,3.07593
17,5,Destra,3.30012,2.93649,3.1756,2.88788,3.30012
18,5,Giu,3.47584,2.95048,3.47584,3.22152,3.41359
19,5,Giu,3.65898,3.08101,3.65898,2.98072,3.02908
20,5,Giu,2.80665,2.32238,2.80665,2.45711,1.74321
22,5,Giu,10.0291,5.55456,10.0291,6.71712,7.89835
23,5,Sinistra,9.50829,7.84873,7.90644,9.50829,7.72847
24,5,Sinistra,9.25682,7.21225,7.71851,9.25682,7.6971
25,5,Giu,7.49257,5.72747,7.49257,5.43409,5.87219
27,5,Destra,2.11248,1.87556,2.08498,1.20075,2.11248
28,5,Giu,2.31548,1.92592,2.31548,2.05776,2.02285
29,5,Giu,2.18209,1.81816,2.18209,1.95553,0.981103
0,6,Giu,2.62666,2.52151,2.62666,2.11458,1.60589
5,6,Destra,2.62192,2.23984,2.41362,1.81442,2.62192
6,6,Sinistra,3.00441,2.49781,2.48418,3.00441,2.05401
8,6,Destra,1.66192,1.64515,0.45583,0.674201,1.66192
9,6,Destra,1.70491,1.67369,0.586029,1.37635,1.70491
10,6,Giu,1.87478,1.72761,1.87478,1.71551,1.72167
11,6,Sinistra,1.63283,1.3793,0.872721,1.63283,0.764154
13,6,Destra,2.49927,1.91492,1.27805,1.34771,2.49927
14,6,Destra,2.95623,2.61953,1.75664,2.56408,2.95623
15,6,Destra,3.1202,2.84799,1.96842,2.73975,3.1202
16,6,Destra,3.28005,3.01716,2.09982,2.88813,3.28005
17,6,Destra,3.47052,3.08592,2.3145,3.07511,3.47052
18,6,Destra,3.6614,3.28032,3.62881,3.28321,3.6614
19,6,Giu,3.86131,3.48701,3.86131,3.46404,3.41579
20,6,Giu,3.67393,3.11476,3.67393,3.44705,2.45785
22,6,Destra,5.08552,4.85285,4.2181,4.89487,5.08552
23,6,Sinistra,9.99419,9.10608,9.03833,9.99419,9.00466
24,6,Sinistra,9.45857,8.33218,8.9736,9.45857,8.75655
25,6,Sinistra,9.11878,7.17111,6.25532,9.11878,6.67348
27,6,Giu,2.64972,2.16432,2.64972,1.78425,2.6259
28,6,Giu,2.67668,2.28888,2.67668,2.38142,2.51917
29,6,Giu,2.46411,1.98789,2.46411,2.15522,1.2679
0,7,Giu,2.73069,2.06759,2.73069,1.88236,2.6832
1,7,Destra,2.95826,2.09939,2.68947,2.70131,2.95826
2,7,Destra,2.41464,1.50619,2.28041,2.08399,2.41464
3,7,Destra,2.77758,1.76394,2.35953,2.48992,2.77758
4,7,Destra,2.91109,2.07209,2.68435,2.59081,2.91109
5,7,Destra,2.7176,2.18279,2.59852,2.59282,2.7176
6,7,Sinistra,2.83935,2.52899,2.68606,2.83935,2.10176
10,7,Giu,2.15343,1.71742,2.15343,1.21316,1.16854
18,7,Destra,3.87564,3.63427,3.52032,3.12345,3.87564
19,7,Giu,4.07575,3.689,4.07575,3.68819,3.64634
20,7,Giu,3.87531,3.28405,3.87531,3.37511,2.77453
23,7,Su,9.47474,9.47474,8.48804,8.00531,8.65
24,7,Su,9.04052,9.04052,7.84646,8.32138,7.33289
26,7,Destra,2.18471,0.949663,1.81813,0.919797,2.18471
27,7,Giu,3.17912,2.70746,3.17912,2.54374,2.8552
28,7,Sinistra,3.0976,2.75008,3.04399,3.0976,2.99978
29,7,Sinistra,2.39839,2.06477,2.18994,2.39839,1.80215
0,8,Destra,2.98725,2.6517,2.75309,2.21867,2.98725
1,8,Destra,3.10916,2.32787,2.87171,3.01462,3.10916
2,8,Destra,2.46005,2.2874,2.37283,2.31477,2.46005
3,8,Destra,3.13956,2.83017,2.91207,2.81273,3.13956
4,8,Destra,2.8197,2.54574,2.77638,2.75955,2.8197
5,8,Giu,2.77415,2.60645,2.77415,2.66997,2.72367
6,8,Sinistra,2.05941,1.86825,2.03686,2.05941,1.21856
8,8,Destra,2.20241,1.75821,1.96278,1.27962,2.20241
9,8,Destra,2.06222,1.14948,1.90367,1.88123,2.06222
10,8,Giu,2.34316,2.00635,2.34316,1.9878,2.20279
11,8,Sinistra,2.14449,1.01375,1.84489,2.14449,1.3151
13,8,Destra,1.72195,0.60287,0.963165,0.831003,1.72195
14,8,Destra,1.72375,0.702112,1.55504,1.24275,1.72375
15,8,Destra,3.30682,2.40128,3.29219,2.90716,3.30682
16,8,Destra,2.5362,1.64576,2.51301,2.40829,2.5362
17,8,Destra,4.34446,3.20763,3.96411,3.59596,4.34446
18,8,Giu,4.53359,3.75151,4.53359,3.95899,4.17744
19,8,Giu,4.29158,3.85721,4.29158,4.2345,3.87606
20,8,Sinistra,4.05588,3.69823,3.7608,4.05588,3.44584
21,8,Sinistra,3.24795,2.24971,2.95744,3.24795,2.2873
23,8,Su,8.99108,8.99108,8.12237,7.53243,8.11095
24,8,Su,8.55714,8.55714,7.79355,8.46191,7.23487
