apprendimento policy e Q
----------------------------------
griglia (15x15):
.###...........
.#S#...........
.#.#...........
.#.#...........
.#.#.####......
.#.#.#......#..
.#.#.#......#..
.#.###......#..
............#..
............#..
..#.#########..
..#.#G.........
..#.#..........
..#..#.........
..####.........

X,Y,Azione Ottimale,Valore Q Ottimale,Q_Su,Q_Giu,Q_Sinistra,Q_Destra
14,7,Sinistra,5.31064,4.59199,5.07304,5.31064,4.54865
0,8,Giu,2.25907,1.9317,2.25907,0.912662,2.11815
1,8,Destra,1.99444,1.06263,1.78801,1.5635,1.99444
2,8,Destra,2.10828,1.88156,1.91861,1.90183,2.10828
3,8,Destra,2.23023,1.15365,1.91793,1.95855,2.23023
4,8,Destra,2.34887,1.25204,2.1007,2.11338,2.34887
5,8,Destra,2.48279,1.38432,2.2388,2.23185,2.48279
6,8,Destra,2.62393,2.56362,2.36473,2.34286,2.62393
7,8,Destra,2.774,2.75365,2.49411,2.49009,2.774
8,8,Destra,2.93123,2.83961,2.57398,2.58887,2.93123
9,8,Su,3.09605,3.09605,2.76106,2.80705,3.09502
10,8,Su,3.27002,3.27002,2.93382,2.99153,3.13864
11,8,Su,3.45094,3.45094,3.3523,3.20677,2.65125
13,8,Giu,5.89922,5.29447,5.89922,4.62613,5.31822
14,8,Giu,5.55687,5.43334,5.55687,5.4065,4.65254
0,9,Destra,2.1126,1.89732,1.8786,1.17076,2.1126
1,9,Destra,2.12535,1.82073,1.99722,1.80737,2.12535
2,9,Destra,1.99335,1.93487,0.863174,1.88496,1.99335
3,9,Destra,2.11108,2.09049,2.08818,1.7857,2.11108
4,9,Destra,2.23529,2.13826,1.21286,1.99342,2.23529
5,9,Destra,2.35772,2.14279,1.35945,2.15566,2.35772
6,9,Su,2.48496,2.48496,1.83454,2.32388,2.20924
7,9,Destra,2.6185,2.41318,1.55529,2.51649,2.6185
8,9,Destra,2.77202,2.47122,1.84052,2.33204,2.77202
9,9,Su,2.92987,2.92987,1.72794,2.63014,2.90693
10,9,Destra,2.98587,2.72833,1.67484,2.43603,2.98587
11,9,Su,3.22811,3.22811,1.7768,2.83413,1.98962
13,9,Giu,6.22238,5.56801,6.22238,4.93797,5.57003
14,9,Giu,5.86744,5.21879,5.86744,5.84391,4.77698
0,10,Giu,2.33979,2.0233,2.33979,1.26366,2.03263
1,10,Giu,2.42017,2.18289,2.42017,1.40731,1.12249
3,10,Su,2.10447,2.10447,2.05188,1.3025,1.70396
13,10,Giu,6.56188,5.91829,6.56188,5.26758,5.93314
14,10,Sinistra,6.22835,5.51129,5.81737,6.22835,5.31772
0,11,Giu,2.32404,1.98389,2.32404,1.19564,2.08025
1,11,Sinistra,2.04153,2.01896,1.9837,2.04153,1.73808
3,11,Su,2.39142,2.39142,1.96528,1.60676,1.41133
5,11,Destra,2.89469,2.79174,2.56471,2.35128,2.89469
6,11,Sinistra,10.0035,8.48298,8.96733,10.0035,9.07096
7,11,Sinistra,9.49841,8.07452,8.50132,9.49841,8.47293
8,11,Sinistra,9.01391,7.77175,8.12298,9.01391,8.04165
9,11,Sinistra,8.55157,7.2643,7.46963,8.55157,7.73467
10,11,Sinistra,8.109,6.61886,7.45215,8.109,7.24431
11,11,Sinistra,7.69186,6.22256,7.16175,7.69186,6.76379
12,11,Sinistra,7.30077,5.80932,6.74028,7.30077,6.52466
13,11,Sinistra,6.92471,6.18332,6.37456,6.92471,6.19906
14,11,Sinistra,6.58569,5.78852,5.46589,6.58569,5.05174
0,12,Destra,2.21513,1.80228,1.80433,1.05481,2.21513
1,12,Giu,2.43792,2.18505,2.43792,1.95006,1.40807
3,12,Su,2.24778,2.24778,2.10225,1.38029,1.48296
5,12,Su,10.0136,10.0136,8.59296,8.64913,9.32519
6,12,Sinistra,9.52116,9.28559,8.58476,9.52116,8.82768
7,12,Sinistra,9.02717,8.86876,8.23598,9.02717,8.41928
8,12,Sinistra,8.56682,8.526,7.84606,8.56682,7.95381
9,12,Sinistra,8.1358,7.92093,7.32276,8.1358,7.5518
10,12,Sinistra,7.72713,7.1767,7.11743,7.72713,7.29552
11,12,Sinistra,7.33691,6.5198,6.64901,7.33691,6.8048
12,12,Sinistra,6.95927,6.53695,6.25028,6.95927,6.60063
13,12,Sinistra,6.62118,6.23408,5.98959,6.62118,6.26918
14,12,Sinistra,6.57939,5.85224,5.3174,6.57939,5.33086
0,13,Destra,2.22653,1.8411,2.03073,1.04946,2.22653
1,13,Sinistra,2.32676,2.32202,1.7381,2.32676,1.5931
3,13,Su,2.34011,2.34011,1.25626,1.18626,2.26639
4,13,Sinistra,2.06824,1.25476,1.16394,2.06824,1.25535
6,13,Su,9.09521,9.09521,6.50256,8.0654,8.70108
7,13,Su,8.7798,8.7798,7.48514,7.77042,7.53887
8,13,Su,8.20181,8.20181,7.64187,8.03968,7.84747
9,13,Sinistra,7.86703,7.68242,7.17519,7.86703,7.44661
10,13,Sinistra,7.57297,7.05935,7.10068,7.57297,7.00388
11,13,Sinistra,7.31367,7.08189,6.70808,7.31367,6.38323
12,13,Su,6.90194,6.90194,6.76059,6.09456,6.3004
13,13,Su,6.51196,6.51196,6.43868,5.97166,5.91582
14,13,Sinistra,5.62855,5.05466,4.64148,5.62855,4.40801
0,14,Destra,2.29157,2.22441,1.444,1.26159,2.29157
1,14,Su,2.40282,2.40282,1.40119,1.95336,1.5473
6,14,Su,7.82204,7.82204,6.38003,6.53494,5.77172
7,14,Su,7.23357,7.23357,6.02311,5.99705,6.10333
8,14,Su,7.90698,7.90698,5.11413,6.49724,7.12837
9,14,Su,7.54653,7.54653,6.73676,6.75392,6.36365
10,14,Sinistra,7.19256,7.12465,6.15576,7.19256,6.68103
11,14,Sinistra,6.93672,6.36482,5.4004,6.93672,6.19327
12,14,Sinistra,6.61551,6.02484,5.69804,6.61551,6.09383
13,14,Sinistra,6.26551,5.23712,4.91059,6.26551,5.66881
14,14,Sinistra,4.55016,4.04418,3.96357,4.55016,3.45578
