apprendimento policy e Q
----------------------------------
griglia (18x15):
..................
S###..............
#..#..............
...#..............
...#..............
...#..###....#....
...####.#....#....
....##..#....#....
........#....##...
........#.....#...
.........#....#...
.........G####....
..................
..................
..................

X,Y,Azione Ottimale,Valore Q Ottimale,Q_Su,Q_Giu,Q_Sinistra,Q_Destra
14,5,Giu,4.77156,4.32233,4.77156,3.59706,4.63577
15,5,Giu,5.01553,4.35147,5.01553,4.66836,4.74789
16,5,Giu,4.829,4.00967,4.829,4.18543,4.09888
17,5,Sinistra,4.58952,4.45494,4.08452,4.58952,3.60628
0,6,Destra,2.72093,2.47479,2.5584,2.66326,2.72093
1,6,Destra,3.98054,3.75097,3.72335,3.27646,3.98054
2,6,Sinistra,3.43394,3.09891,3.1722,3.43394,2.85957
7,6,Destra,3.80525,3.21085,3.61297,3.75248,3.80525
9,6,Destra,2.48064,2.16782,2.25936,1.17502,2.48064
10,6,Destra,2.57388,2.41869,2.37935,2.18896,2.57388
11,6,Su,2.67995,2.67995,2.54085,2.56594,2.63427
12,6,Su,2.70316,2.70316,2.38778,2.40412,1.9823
14,6,Giu,5.03403,4.45392,5.03403,3.83627,5.02862
15,6,Giu,5.2995,4.73836,5.2995,4.74373,4.85049
16,6,Giu,5.03696,4.86557,5.03696,4.77861,4.6065
17,6,Sinistra,5.12724,4.15849,4.60677,5.12724,3.72649
0,7,Giu,2.68137,2.65526,2.68137,2.51391,2.58439
1,7,Destra,4.38546,4.19104,4.13372,3.12272,4.38546
2,7,Destra,3.90129,3.56086,3.8183,3.6012,3.90129
3,7,Sinistra,3.77809,3.00257,3.00512,3.77809,2.85675
6,7,Sinistra,2.40213,2.16385,2.30517,2.40213,2.31325
7,7,Giu,4.14148,3.38164,4.14148,3.65658,3.57955
9,7,Destra,2.65132,2.36666,2.52164,1.33503,2.65132
10,7,Su,2.50199,2.50199,2.42283,2.15289,2.18925
11,7,Su,2.32684,2.32684,2.2211,1.82894,2.30134
12,7,Giu,2.08817,1.90502,2.08817,2.06343,1.3774
14,7,Destra,5.30424,4.64972,4.20875,3.9803,5.30424
15,7,Giu,5.59634,5.07005,5.59634,4.99409,5.1035
16,7,Sinistra,5.32597,4.67279,4.99575,5.32597,4.82019
17,7,Giu,5.6945,4.74259,5.6945,5.19216,4.88084
0,8,Destra,2.97717,2.95009,2.77534,2.61704,2.97717
1,8,Giu,3.56628,3.47796,3.56628,3.0947,3.08645
2,8,Sinistra,3.65326,3.46753,3.37673,3.65326,3.41269
3,8,Destra,4.50315,3.71388,4.14685,4.24719,4.50315
4,8,Giu,3.29882,2.98787,3.29882,3.281,3.20664
5,8,Giu,3.69584,3.03275,3.69584,3.34768,2.95807
6,8,Giu,3.77573,3.09911,3.77573,3.46786,3.45344
7,8,Giu,3.96819,3.51484,3.96819,3.72717,3.89411
9,8,Destra,2.56834,2.28335,2.43252,1.2467,2.56834
10,8,Su,2.25231,2.25231,2.22943,2.14688,2.1446
11,8,Destra,2.3412,2.25528,2.25839,2.07847,2.3412
12,8,Su,2.11508,2.11508,1.93151,2.01168,1.52584
15,8,Giu,5.90271,5.35388,5.90271,4.61036,5.38138
16,8,Giu,5.67032,4.8084,5.67032,5.35071,4.97168
17,8,Sinistra,5.50511,4.50703,4.83883,5.50511,3.77384
0,9,Destra,4.34149,3.94823,4.10994,3.51628,4.34149
1,9,Su,3.61454,3.61454,3.44926,3.27249,3.4758
2,9,Sinistra,3.525,3.52136,3.31798,3.525,3.35238
3,9,Sinistra,4.39217,4.01346,4.30055,4.39217,4.25698
4,9,Giu,4.09099,3.95957,4.09099,3.65471,3.79418
5,9,Sinistra,3.56237,3.11155,3.34677,3.56237,3.13375
6,9,Destra,3.53514,3.51436,3.14989,3.12892,3.53514
7,9,Giu,3.10422,3.02051,3.10422,2.83349,2.7368
9,9,Destra,2.36652,2.04427,1.26401,1.34871,2.36652
10,9,Destra,2.49005,2.30962,2.19717,1.99515,2.49005
