apprendimento policy e Q
----------------------------------
griglia (6x30):
......
G.....
###...
......
......
..####
..#...
..#...
..#...
..#..#
..#..#
..#..#
..#..#
.##..#
.#...#
.##..#
.....#
.....#
###..#
......
......
......
..####
......
......
####..
......
......
..####
.....S

X,Y,Azione Ottimale,Valore Q Ottimale,Q_Su,Q_Giu,Q_Sinistra,Q_Destra
3,20,Su,2.35135,2.35135,2.15478,2.08883,2.07268
4,20,Su,2.20893,2.20893,2.04109,2.05502,2.18339
5,20,Su,2.15323,2.15323,2.06448,2.06933,1.70928
0,21,Destra,1.86746,1.70195,1.66876,0.902421,1.86746
1,21,Su,1.98843,1.98843,1.77144,1.76967,1.98595
2,21,Su,2.10402,2.10402,0.971957,1.88184,2.07024
3,21,Su,2.21157,2.21157,0.999046,2.10968,1.96617
4,21,Sinistra,2.17401,1.88622,0.922345,2.17401,1.96596
5,21,Su,2.38566,2.38566,1.512,2.28501,1.43191
0,22,Destra,1.77447,1.72312,1.50702,0.796811,1.77447
1,22,Su,1.87884,1.87884,1.67676,1.67574,0.783107
0,23,Su,1.67382,1.67382,1.39165,0.85619,1.48079
1,23,Su,1.77445,1.77445,1.58102,1.57912,1.58293
2,23,Sinistra,1.67577,0.595909,1.49487,1.67577,1.49163
3,23,Sinistra,1.5827,0.539046,1.39204,1.5827,1.40831
4,23,Sinistra,1.49298,0.574047,1.36702,1.49298,1.32157
5,23,Sinistra,1.45151,-0.0640622,0.992105,1.45151,0.403245
0,24,Su,1.53505,1.53505,0.436399,1.4231,1.49949
1,24,Su,1.67744,1.67744,0.624022,1.44677,1.48017
2,24,Su,1.58207,1.58207,0.51081,1.57963,1.40224
3,24,Sinistra,1.49264,1.49107,0.409744,1.49264,1.33079
4,24,Sinistra,1.40838,1.40384,1.25369,1.40838,1.25487
5,24,Sinistra,1.33258,1.21808,1.12951,1.33258,0.46354
4,25,Su,1.32776,1.32776,1.17681,0.262772,1.17265
5,25,Sinistra,1.237,1.16321,0.975146,1.237,0.4308
0,26,Destra,0.990784,0.134053,0.788759,-0.361679,0.990784
1,26,Destra,1.04364,-0.0395004,0.915705,0.926522,1.04364
2,26,Destra,1.10854,0.0495951,0.985786,0.980737,1.10854
3,26,Destra,1.17672,0.122258,1.04032,1.04005,1.17672
4,26,Su,1.25034,1.25034,1.10877,1.11038,1.11058
5,26,Sinistra,1.18193,1.05944,0.896239,1.18193,0.346865
0,27,Destra,0.945117,0.879062,0.758693,0.0443877,0.945117
1,27,Destra,0.979788,0.978043,0.87098,0.864498,0.979788
2,27,Su,1.04179,1.04179,-0.00856982,0.923681,1.04168
3,27,Su,1.10883,1.10883,0.0634824,0.97271,1.09724
4,27,Su,1.17818,1.17818,0.274433,0.980357,1.0044
5,27,Sinistra,1.10992,1.00522,0.0185958,1.10992,0.287141
0,28,Destra,0.866331,0.685896,0.499953,0.0338109,0.866331
1,28,Su,0.921516,0.921516,0.817406,0.815662,-0.126817
0,29,Su,0.818914,0.818914,-0.312093,-0.247119,0.543522
1,29,Su,0.864546,0.864546,-0.169719,0.765878,0.760763
2,29,Sinistra,0.81152,-0.227969,-0.231279,0.81152,0.709834
3,29,Sinistra,0.761666,-0.277408,-0.275894,0.761666,0.663541
4,29,Sinistra,0.713892,-0.317298,-0.319938,0.713892,0.624693
5,29,Sinistra,0.667829,-0.359968,-0.372625,0.667829,-0.361693
