apprendimento policy e Q
----------------------------------
griglia (15x20):
...............
...............
...............
...............
....#####......
........##.....
.........#.....
....###..#.....
...##.#S##.....
.....####......
......#.#......
......#....#...
......#....#...
......#....#...
......#....#...
......######...
.......G##.....
...............
...............
...............

X,Y,Azione Ottimale,Valore Q Ottimale,Q_Su,Q_Giu,Q_Sinistra,Q_Destra
7,6,Sinistra,3.66959,3.18428,3.34773,3.66959,3.4174
8,6,Sinistra,3.46665,2.21754,3.11724,3.46665,2.19707
10,6,Giu,5.69923,5.09044,5.69923,4.74255,5.69163
11,6,Giu,5.94578,5.53267,5.94578,5.26744,5.6834
12,6,Giu,6.01465,5.27187,6.01465,5.44317,5.65083
13,6,Giu,5.68031,5.08521,5.68031,4.96979,5.55595
14,6,Giu,5.1987,5.08621,5.1987,5.15364,4.86593
0,7,Destra,4.64068,4.25035,4.43982,3.44075,4.64068
1,7,Giu,4.80364,4.19468,4.80364,4.56309,4.45066
2,7,Giu,5.05527,4.45319,5.05527,4.56754,4.69803
3,7,Sinistra,4.79439,4.2446,3.51695,4.79439,3.61914
7,7,Su,3.47122,3.47122,3.09488,2.33001,3.12207
8,7,Sinistra,3.2938,3.06205,1.96923,3.2938,2.04344
10,7,Giu,5.20797,4.83213,5.20797,3.9664,4.95907
11,7,Giu,5.13659,4.75383,5.13659,5.05395,5.04969
12,7,Giu,5.40154,5.04011,5.40154,4.86858,5.23652
13,7,Destra,5.50597,4.96682,5.2376,5.48945,5.50597
14,7,Sinistra,5.63477,4.9472,5.53188,5.63477,5.22707
0,8,Destra,4.75189,4.6321,4.69209,3.71085,4.75189
1,8,Destra,5.03698,4.58183,4.9218,4.77894,5.03698
2,8,Giu,5.33,4.67795,5.33,4.82,4.12632
5,8,Giu,6.15986,5.68089,6.15986,5.8602,5.93913
7,8,Su,3.28661,3.28661,2.12588,2.13167,2.12567
10,8,Destra,5.71644,4.95351,5.07834,4.79902,5.71644
11,8,Destra,5.23446,4.78314,4.91598,4.93321,5.23446
12,8,Destra,5.12198,4.73144,5.03365,4.71733,5.12198
13,8,Giu,5.99022,5.31645,5.99022,5.25521,5.42421
14,8,Sinistra,4.98751,4.41117,4.53032,4.98751,4.75948
0,9,Destra,5.19264,4.46393,4.58322,4.45866,5.19264
1,9,Destra,5.34918,4.86808,5.14697,4.83865,5.34918
2,9,Giu,5.62479,5.03618,5.62479,5.1582,5.50649
3,9,Giu,5.90193,4.90525,5.90193,5.50577,5.17159
4,9,Sinistra,5.47116,4.00308,4.9648,5.47116,4.16776
9,9,Giu,4.81812,4.1386,4.81812,3.86459,4.61103
10,9,Destra,5.85812,5.27009,5.68634,5.53923,5.85812
11,9,Destra,5.30599,4.82765,4.97113,5.11982,5.30599
12,9,Destra,5.44814,5.05177,5.40243,5.07348,5.44814
13,9,Giu,5.57267,5.13986,5.57267,5.37699,5.55492
14,9,Giu,6.01719,5.15758,6.01719,5.82568,5.23427
0,10,Giu,5.29735,4.68139,5.29735,4.14982,4.98392
1,10,Destra,5.62733,5.18236,5.55475,5.32653,5.62733
2,10,Giu,5.9216,5.30152,5.9216,5.45919,5.73835
3,10,Destra,6.22716,5.58442,6.08634,6.00338,6.22716
4,10,Giu,6.54814,5.55464,6.54814,5.92026,5.9707
5,10,Sinistra,5.81422,4.53441,5.43074,5.81422,4.5516
7,10,Destra,4.30022,3.98911,3.67181,3.3156,4.30022
9,10,Destra,4.6179,4.00794,4.01417,3.89825,4.6179
10,10,Giu,5.83061,5.23614,5.83061,5.3843,5.6424
11,10,Giu,5.61326,4.99838,5.61326,5.21151,5.48156
12,10,Giu,5.78373,5.10293,5.78373,5.01333,5.36866
13,10,Destra,5.62303,5.17007,5.51746,5.39087,5.62303
14,10,Giu,6.14088,5.35068,6.14088,5.61165,5.36209
0,11,Giu,5.37049,5.0178,5.37049,4.14332,5.2897
1,11,Giu,5.91501,5.39691,5.91501,5.53354,5.73734
2,11,Giu,6.24268,5.6585,6.24268,5.58921,6.21547
3,11,Giu,6.59476,5.92993,6.59476,6.08185,6.50452
4,11,Giu,6.93464,6.08569,6.93464,6.40957,6.25995
5,11,Sinistra,6.45493,5.55609,5.76345,6.45493,5.22469
7,11,Destra,5.97848,5.26992,5.67949,5.3554,5.97848
8,11,Destra,5.21388,4.62534,4.82282,4.65561,5.21388
9,11,Giu,6.17164,5.6885,6.17164,5.74959,6.15579
10,11,Giu,4.59833,4.00284,4.59833,4.21601,4.21339
12,11,Destra,5.06087,4.93389,4.93787,4.44043,5.06087
13,11,Giu,5.43757,5.25943,5.43757,4.89408,5.35569
14,11,Sinistra,5.37417,5.03242,5.37212,5.37417,5.17834
0,12,Destra,5.69945,5.44551,5.59063,4.52394,5.69945
1,12,Giu,6.23892,5.53167,6.23892,5.54071,6.13797
2,12,Giu,6.58314,5.98671,6.58314,5.90521,6.52891
3,12,Giu,6.94955,6.17407,6.94955,6.16193,6.65748
4,12,Giu,7.30948,6.42527,7.30948,6.57433,6.74374
5,12,Sinistra,6.81713,5.83384,5.65115,6.81713,5.86819
