apprendimento policy e Q
----------------------------------
griglia (12x12):
.##...#.#...
.S#.........
..#...#.#...
..#..####...
..#..#......
..#..####...
............
............
......#..#..
..#.....##..
..#...G.#.#.
..###...###.

X,Y,Azione Ottimale,Valore Q Ottimale,Q_Su,Q_Giu,Q_Sinistra,Q_Destra
7,9,Giu,7.69617,7.10941,7.69617,6.76842,7.21878
10,9,Su,5.94193,5.94193,5.54488,4.98799,5.87984
11,9,Giu,6.31304,5.79035,6.31304,5.89199,5.57094
0,10,Giu,5.07129,4.80692,5.07129,4.24655,5.01695
1,10,Giu,5.19841,4.87395,5.19841,4.67494,4.04616
3,10,Destra,8.99366,7.76597,7.58703,7.45705,8.99366
4,10,Destra,9.48252,8.70835,8.2241,8.39937,9.48252
5,10,Destra,9.99546,9.03289,8.92767,8.99273,9.99546
6,10,Giu,6.61784,5.68473,6.61784,5.67841,6.33718
7,10,Sinistra,9.36809,8.32289,7.43162,9.36809,6.52705
9,10,Sinistra,6.81954,6.42167,6.77706,6.81954,5.8538
11,10,Giu,6.15062,5.51766,6.15062,5.47466,5.83813
0,11,Destra,4.59338,4.19685,4.25973,3.97941,4.59338
1,11,Su,4.66908,4.66908,4.05043,4.58658,3.91633
5,11,Su,9.48293,9.48293,8.2922,8.47202,7.92056
6,11,Su,8.37276,8.37276,8.00624,7.87413,6.95096
7,11,Su,6.3266,6.3266,5.8972,5.81816,5.41732
11,11,Destra,4.90576,4.29464,4.72649,4.07424,4.90576
